train_loss,val_loss
1.792120e-02,1.393280e-02
1.340048e-02,1.307894e-02
1.283080e-02,1.257599e-02
1.250532e-02,1.286039e-02
1.228725e-02,1.182930e-02
1.213343e-02,1.149538e-02
1.200548e-02,1.177533e-02
1.190118e-02,1.162361e-02
1.182024e-02,1.184532e-02
1.174978e-02,1.157220e-02
1.169704e-02,1.189413e-02
1.164703e-02,1.223548e-02
1.160699e-02,1.129290e-02
1.156477e-02,1.180322e-02
1.152962e-02,1.137699e-02
1.149962e-02,1.200288e-02
1.147294e-02,1.164560e-02
1.144856e-02,1.133518e-02
1.143004e-02,1.143699e-02
1.141012e-02,1.135610e-02
1.139027e-02,1.114030e-02
1.137754e-02,1.169373e-02
1.135841e-02,1.116427e-02
1.135003e-02,1.117424e-02
1.133177e-02,1.140867e-02
1.132231e-02,1.117107e-02
1.130970e-02,1.101226e-02
1.129473e-02,1.131128e-02
1.128534e-02,1.151794e-02
1.127516e-02,1.132815e-02
1.126260e-02,1.172828e-02
1.125418e-02,1.113837e-02
1.124747e-02,1.116596e-02
1.124297e-02,1.126629e-02
1.123181e-02,1.097210e-02
1.122781e-02,1.102723e-02
1.121820e-02,1.137030e-02
1.120882e-02,1.102924e-02
1.120255e-02,1.123691e-02
1.119750e-02,1.115033e-02
1.118974e-02,1.122499e-02
1.118641e-02,1.096224e-02
1.117775e-02,1.091684e-02
1.117324e-02,1.120043e-02
1.116555e-02,1.094401e-02
1.116100e-02,1.144173e-02
1.115626e-02,1.104283e-02
1.115424e-02,1.138987e-02
1.114707e-02,1.108414e-02
1.114123e-02,1.124882e-02
1.113969e-02,1.084323e-02
1.113282e-02,1.106143e-02
1.112800e-02,1.117286e-02
1.112692e-02,1.114847e-02
1.111861e-02,1.094339e-02
1.111455e-02,1.159641e-02
1.111152e-02,1.097734e-02
1.111000e-02,1.102453e-02
1.110447e-02,1.121084e-02
1.110118e-02,1.191855e-02
1.109904e-02,1.121497e-02
1.109624e-02,1.092881e-02
1.109078e-02,1.093179e-02
1.109193e-02,1.108642e-02
1.108749e-02,1.096256e-02
1.108660e-02,1.117579e-02
