train_loss,val_loss
4.017221e-02,2.265573e-02
2.010097e-02,1.768863e-02
1.763280e-02,1.893188e-02
1.640731e-02,1.504256e-02
1.571482e-02,1.609415e-02
1.524066e-02,1.621676e-02
1.481087e-02,1.417112e-02
1.451273e-02,1.418378e-02
1.426634e-02,1.402885e-02
1.406069e-02,1.290896e-02
1.398388e-02,1.371019e-02
1.385270e-02,1.321506e-02
1.370113e-02,1.428141e-02
1.362127e-02,1.290574e-02
1.353183e-02,1.411273e-02
1.346269e-02,1.352247e-02
1.337953e-02,1.315375e-02
1.331768e-02,1.368427e-02
1.326333e-02,1.282168e-02
1.315436e-02,1.244793e-02
1.311357e-02,1.275527e-02
1.304097e-02,1.302259e-02
1.299948e-02,1.324521e-02
1.296602e-02,1.230445e-02
1.289905e-02,1.351430e-02
1.285622e-02,1.319216e-02
1.280797e-02,1.260448e-02
1.276363e-02,1.297909e-02
1.273243e-02,1.253308e-02
1.271326e-02,1.294936e-02
1.267549e-02,1.238739e-02
1.265146e-02,1.217089e-02
1.261564e-02,1.248360e-02
1.259830e-02,1.223727e-02
1.255451e-02,1.248533e-02
1.251963e-02,1.233526e-02
1.248960e-02,1.196079e-02
1.245606e-02,1.228714e-02
1.245029e-02,1.231011e-02
1.240739e-02,1.351521e-02
1.238753e-02,1.195123e-02
1.237100e-02,1.282470e-02
1.234001e-02,1.173225e-02
1.233155e-02,1.195879e-02
1.233413e-02,1.187492e-02
1.227848e-02,1.255787e-02
1.226080e-02,1.260849e-02
1.224960e-02,1.219448e-02
1.223446e-02,1.221870e-02
1.222006e-02,1.171521e-02
1.218772e-02,1.174392e-02
1.220346e-02,1.256228e-02
1.218070e-02,1.194957e-02
1.215349e-02,1.229518e-02
1.215146e-02,1.254423e-02
1.213966e-02,1.166342e-02
1.211869e-02,1.184454e-02
1.211414e-02,1.224995e-02
1.209976e-02,1.208070e-02
1.206461e-02,1.218335e-02
1.205353e-02,1.204942e-02
1.204687e-02,1.307379e-02
1.204561e-02,1.256975e-02
1.202305e-02,1.242876e-02
1.200401e-02,1.322922e-02
1.198542e-02,1.178327e-02
1.199055e-02,1.161908e-02
1.197156e-02,1.180734e-02
1.194035e-02,1.229135e-02
1.195611e-02,1.263329e-02
1.195965e-02,1.231974e-02
1.192624e-02,1.194302e-02
1.192735e-02,1.170019e-02
1.192527e-02,1.166393e-02
1.189314e-02,1.165851e-02
1.189443e-02,1.196520e-02
1.188653e-02,1.154644e-02
1.188960e-02,1.195544e-02
1.189527e-02,1.218946e-02
1.187951e-02,1.241204e-02
1.185721e-02,1.140091e-02
1.184452e-02,1.172891e-02
1.183347e-02,1.249727e-02
1.184102e-02,1.174780e-02
1.181806e-02,1.175972e-02
1.179125e-02,1.223609e-02
1.182278e-02,1.209560e-02
1.179346e-02,1.192226e-02
1.179649e-02,1.163742e-02
1.177679e-02,1.168962e-02
1.178167e-02,1.188402e-02
1.176836e-02,1.193673e-02
1.176923e-02,1.155737e-02
1.177374e-02,1.170161e-02
1.174550e-02,1.202629e-02
1.174883e-02,1.137049e-02
1.174823e-02,1.155007e-02
1.175390e-02,1.176577e-02
1.173780e-02,1.156336e-02
1.172463e-02,1.211960e-02
1.171485e-02,1.151054e-02
1.170908e-02,1.232175e-02
1.171174e-02,1.197776e-02
1.170225e-02,1.177101e-02
1.170890e-02,1.238541e-02
1.169152e-02,1.161239e-02
1.170742e-02,1.208950e-02
1.168112e-02,1.150126e-02
1.166888e-02,1.214740e-02
1.169575e-02,1.140920e-02
1.166406e-02,1.157759e-02
