train_loss,val_loss
1.023405e-02,7.153851e-03
7.162253e-03,6.726362e-03
6.714042e-03,6.710061e-03
6.450151e-03,6.501479e-03
6.291027e-03,5.907460e-03
6.177454e-03,6.414268e-03
6.100506e-03,5.904981e-03
6.042207e-03,5.751185e-03
5.988289e-03,6.623419e-03
5.941639e-03,6.033673e-03
5.899418e-03,5.747215e-03
5.864232e-03,5.537621e-03
5.834575e-03,6.033275e-03
5.815028e-03,5.976602e-03
5.793969e-03,5.769050e-03
5.774106e-03,5.964166e-03
5.761006e-03,5.825127e-03
5.744991e-03,5.596730e-03
5.731406e-03,5.568736e-03
5.721030e-03,5.854978e-03
5.707816e-03,5.969089e-03
5.696141e-03,5.570130e-03
5.686190e-03,5.522471e-03
5.679979e-03,5.488276e-03
5.671087e-03,5.887191e-03
5.664597e-03,5.664227e-03
5.655584e-03,5.562773e-03
5.644697e-03,5.706865e-03
5.638987e-03,5.584192e-03
5.630998e-03,5.574837e-03
5.623764e-03,5.349185e-03
5.619026e-03,6.197260e-03
5.615897e-03,5.428273e-03
5.607585e-03,5.433082e-03
5.604955e-03,5.472130e-03
5.598865e-03,5.746898e-03
5.596261e-03,5.491016e-03
5.591845e-03,5.661005e-03
5.587560e-03,5.747102e-03
5.581867e-03,5.454281e-03
5.577863e-03,5.535051e-03
5.574333e-03,5.949385e-03
5.569951e-03,5.847018e-03
5.567552e-03,5.464760e-03
5.562275e-03,5.592163e-03
5.559732e-03,5.557542e-03
