train_loss,val_loss
9.720343e-03,6.408351e-03
6.650766e-03,6.159457e-03
6.192884e-03,5.581380e-03
5.915724e-03,5.792355e-03
5.750483e-03,6.163718e-03
5.634614e-03,5.445882e-03
5.540662e-03,5.746137e-03
5.478411e-03,5.235416e-03
5.433215e-03,5.516218e-03
5.391473e-03,5.635631e-03
5.358292e-03,5.726973e-03
5.326663e-03,5.076801e-03
5.296624e-03,4.973642e-03
5.275298e-03,5.342369e-03
5.252123e-03,5.670687e-03
5.235575e-03,6.261956e-03
5.218558e-03,5.560098e-03
5.205625e-03,5.693666e-03
5.191290e-03,5.116039e-03
5.182066e-03,5.140878e-03
5.169282e-03,5.222672e-03
5.159888e-03,5.267928e-03
5.149991e-03,4.890087e-03
5.142141e-03,5.640191e-03
5.134354e-03,5.074373e-03
5.122902e-03,5.200823e-03
5.115218e-03,5.163568e-03
5.108119e-03,4.900239e-03
5.098494e-03,5.255259e-03
5.094442e-03,5.032888e-03
5.083422e-03,5.032965e-03
5.076641e-03,5.727940e-03
5.068138e-03,4.890843e-03
5.058972e-03,5.030660e-03
5.053490e-03,4.860695e-03
5.051007e-03,4.786483e-03
5.044610e-03,4.887764e-03
5.041925e-03,5.125715e-03
5.039453e-03,4.846354e-03
5.035696e-03,5.045743e-03
5.030897e-03,4.918228e-03
5.026606e-03,4.845908e-03
5.023451e-03,5.248312e-03
5.020302e-03,4.764084e-03
5.018065e-03,4.904423e-03
5.014703e-03,5.236435e-03
5.011816e-03,4.950822e-03
5.008942e-03,5.041718e-03
5.004788e-03,4.846848e-03
5.002660e-03,5.043491e-03
4.997107e-03,4.971927e-03
4.991674e-03,4.974463e-03
4.990971e-03,4.853329e-03
4.986344e-03,4.948078e-03
4.983638e-03,5.056985e-03
4.980853e-03,4.969464e-03
4.977537e-03,4.835894e-03
4.975994e-03,4.918790e-03
4.973571e-03,4.971806e-03
